,Unnamed: 0,datetime,open,high,low,close,volume,hold,(t+1)-(t),label
1744,736.0,2021-05-26 09:20:00,5801.0,5810.0,5801.0,5801.0,3.0,35.0,4.0,0
1760,752.0,2021-05-26 10:36:00,5840.0,5860.0,5840.0,5860.0,12.0,32.0,-38.0,0
1763,755.0,2021-05-26 10:39:00,5875.0,5875.0,5860.0,5860.0,48.0,40.0,-2.0,0
1764,756.0,2021-05-26 10:40:00,5860.0,5860.0,5850.0,5850.0,29.0,30.0,12.0,0
1765,757.0,2021-05-26 10:41:00,5850.0,5850.0,5850.0,5850.0,1.0,30.0,18.0,0
1766,758.0,2021-05-26 10:46:00,5822.0,5833.0,5822.0,5822.0,5.0,28.0,48.0,0
1767,759.0,2021-05-26 10:49:00,5822.0,5858.0,5822.0,5858.0,3.0,29.0,-6.0,0
1768,760.0,2021-05-26 10:50:00,5858.0,5862.0,5858.0,5862.0,3.0,30.0,-9.0,0
1769,761.0,2021-05-26 10:51:00,5868.0,5868.0,5868.0,5868.0,3.0,31.0,-15.0,0
1772,764.0,2021-05-26 10:57:00,5873.0,5875.0,5873.0,5875.0,39.0,43.0,-40.0,0
1775,767.0,2021-05-26 11:00:00,5852.0,5853.0,5850.0,5853.0,18.0,31.0,-43.0,0
1786,778.0,2021-05-26 13:33:00,5795.0,5799.0,5795.0,5799.0,12.0,26.0,15.0,0
1800,792.0,2021-05-26 14:44:00,5803.0,5803.0,5800.0,5800.0,4.0,27.0,-30.0,0
1802,794.0,2021-05-27 09:47:00,5775.0,5775.0,5775.0,5775.0,1.0,26.0,5.0,0
1805,797.0,2021-05-27 09:52:00,5747.0,5747.0,5746.0,5746.0,1.0,25.0,69.0,0
1807,799.0,2021-05-27 09:57:00,5780.0,5830.0,5780.0,5780.0,3.0,25.0,51.0,0
1808,800.0,2021-05-27 09:58:00,5780.0,5780.0,5780.0,5780.0,1.0,24.0,66.0,0
1809,801.0,2021-05-27 09:59:00,5780.0,5794.0,5780.0,5794.0,1.0,24.0,73.0,0
1811,803.0,2021-05-27 10:05:00,5829.0,5850.0,5805.0,5805.0,4.0,27.0,38.0,0
1828,820.0,2021-05-27 13:39:00,5778.0,5778.0,5778.0,5778.0,1.0,22.0,11.0,0
1832,824.0,2021-05-27 13:45:00,5820.0,5823.0,5805.0,5805.0,4.0,25.0,-49.0,0
1833,825.0,2021-05-27 13:46:00,5800.0,5800.0,5800.0,5800.0,1.0,24.0,-44.0,0
1837,829.0,2021-05-27 13:55:00,5756.0,5756.0,5756.0,5756.0,3.0,28.0,54.0,0
1839,831.0,2021-05-27 13:57:00,5756.0,5757.0,5756.0,5757.0,1.0,24.0,72.0,0
1840,832.0,2021-05-27 13:58:00,5757.0,5779.0,5757.0,5779.0,2.0,25.0,50.0,0
1844,836.0,2021-05-27 14:05:00,5795.0,5810.0,5795.0,5810.0,2.0,26.0,-3.0,0
1854,846.0,2021-05-28 14:30:00,5811.0,5844.0,5811.0,5811.0,3.0,22.0,-48.0,0
1855,847.0,2021-05-28 14:31:00,5811.0,5811.0,5800.0,5800.0,5.0,22.0,-37.0,0
1856,848.0,2021-05-28 14:34:00,5781.0,5800.0,5781.0,5781.0,3.0,23.0,-66.0,0
1857,849.0,2021-05-28 14:39:00,5781.0,5781.0,5776.0,5776.0,9.0,25.0,-48.0,0
1859,851.0,2021-05-28 14:41:00,5763.0,5763.0,5763.0,5763.0,1.0,26.0,-38.0,0
1860,852.0,2021-05-28 14:42:00,5742.0,5763.0,5742.0,5742.0,3.0,27.0,2.0,0
1861,853.0,2021-05-28 14:43:00,5742.0,5742.0,5742.0,5742.0,1.0,27.0,-8.0,0
